tap,spoon,plate,cupboard,knife,pan,lid,bowl,drawer,sponge,glass,hand,fridge,cup,fork,bottle,onion,cloth,board:chopping,bag,spatula,container,liquid:washing,box,hob,dough,package,water,meat,pot,potato,oil,cheese,bread,food,tray,bin,pepper,salt,colander,jar,carrot,top,tomato,kettle,pasta,oven,sauce,skin,paper,maker:coffee,garlic,towel,egg,rubbish,rice,chicken,cutlery,glove,sink,jug,asparagus,quorn,gherkin,popcorn,balloon,computer,key,pillow,whiskey,door:kitchen,tape,tails
8,11,8,15,4,8,6,1,3,0,3,3,11,4,1,1,3,0,3,3,0,3,1,1,2,0,6,0,0,2,0,1,0,0,1,0,0,0,1,0,0,0,0,0,2,6,0,2,3,0,0,7,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,35
4,7,10,8,8,4,5,2,5,1,0,5,5,2,4,3,1,1,2,1,0,1,0,1,0,0,4,1,0,2,6,2,4,1,4,0,1,2,1,0,0,0,0,0,1,3,2,0,1,0,1,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,30
2,6,5,2,0,5,2,0,3,0,1,0,4,0,3,1,0,0,0,3,0,1,1,0,0,0,3,1,2,3,0,0,0,2,1,3,0,0,1,0,0,1,0,0,0,2,2,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
3,1,9,1,1,0,0,2,2,0,1,0,2,0,0,0,0,1,1,1,0,3,0,0,0,0,2,2,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
2,5,3,11,8,1,3,1,3,3,4,5,1,1,2,0,0,1,1,1,0,1,0,1,0,0,0,0,0,1,0,3,1,0,0,1,1,0,0,0,0,1,0,2,0,0,3,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
0,2,2,2,2,4,4,1,2,1,3,2,6,1,1,1,7,1,2,0,5,0,0,1,0,0,3,2,0,1,1,1,0,1,3,11,6,0,1,1,0,0,0,1,5,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
7,1,2,1,3,3,1,1,2,0,1,4,1,0,3,0,0,1,1,2,2,0,2,1,2,0,1,1,0,0,0,1,1,1,0,0,10,0,0,0,2,0,0,0,1,2,0,0,0,1,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10
1,2,1,1,1,1,0,1,1,0,0,3,2,0,6,0,0,0,1,0,1,1,0,1,0,1,5,1,0,0,1,1,4,3,7,0,0,2,0,0,0,1,1,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
2,3,6,3,0,2,3,0,1,0,0,0,2,2,0,2,1,0,1,0,0,0,1,2,1,1,1,4,0,6,0,6,0,0,0,0,0,0,0,1,0,0,0,3,2,1,1,3,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13
1,3,2,2,2,6,2,0,3,1,3,5,0,2,1,0,0,0,0,2,2,1,1,0,2,2,3,1,1,2,0,2,0,0,2,0,0,0,1,8,0,0,0,0,0,1,3,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14
0,1,4,2,1,1,1,1,1,0,2,0,0,1,1,3,0,0,3,0,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
0,0,1,5,1,6,2,3,0,0,0,0,1,0,1,0,6,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
4,2,1,2,5,3,1,2,4,0,1,2,0,0,5,0,0,1,0,0,0,1,0,1,0,0,2,0,0,2,0,0,1,1,2,1,0,0,0,0,0,0,5,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
6,4,11,6,2,4,1,4,0,3,0,1,2,0,1,0,0,1,2,0,1,1,3,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9
3,4,1,1,2,4,4,1,0,0,0,4,3,1,1,0,0,1,1,0,1,2,0,3,0,2,3,6,0,0,0,2,0,0,0,1,0,0,0,0,0,0,3,1,10,0,0,1,0,0,3,1,0,0,1,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,14
2,5,7,2,2,1,4,1,7,1,1,0,2,0,2,2,8,3,1,1,0,0,1,2,1,1,4,0,3,3,0,3,3,2,0,3,0,1,1,0,0,0,0,0,1,18,2,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,14
3,1,2,7,2,11,3,2,2,2,0,0,3,4,3,2,0,0,2,2,1,1,1,0,5,0,1,0,0,3,0,4,0,0,0,1,1,0,3,0,0,0,3,0,2,2,2,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
5,5,16,6,4,0,3,0,6,0,3,3,3,1,1,0,1,0,0,2,0,1,0,0,4,2,2,2,1,0,0,2,1,0,0,0,1,2,0,0,0,2,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,20
0,0,3,1,6,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,3,0,0,0,1,0,0,0,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
1,0,0,0,1,1,1,1,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,2,1,0,3,0,0,0,0,0,1,0,0,0,1,0,3,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
6,6,1,2,2,3,1,2,1,1,1,7,0,5,1,2,1,0,2,3,1,3,0,2,0,0,3,2,1,2,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,7,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,14
1,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,1,2,1,3,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
